PerturbationCondition,Level,Method,MeanARI,SDARI,MeanG,SDG,N
Shifted-cell fraction,8%,PCP,0.979536430323248,0.00815377825239086,5,0,10
Shifted-cell fraction,8%,K's tau,0.845186591201704,0.113976412729251,6.3,0.948683298050514,10
Shifted-cell fraction,8%,Winsor,0.659529723759397,0.0760151896636085,8.7,1.05934990547138,10
Shifted-cell fraction,8%,Quad,0.687721891406405,0.099104451544625,8.1,1.44913767461894,10
Shifted-cell fraction,8%,Ball,0.757289780631183,0.121366011732187,7,1.63299316185545,10
Shifted-cell fraction,8%,Shell,0.637826065131891,0.0762619775614932,8.4,1.26491106406735,10
Shifted-cell fraction,8%,LR,0.70156212444606,0.0973977837151054,7.7,1.33749350984926,10
Shifted-cell fraction,10%,PCA,0.680238085158522,0.0950255529981636,8.5,1.26929551764398,10
Shifted-cell fraction,10%,PcaGrid,0.00226126944724771,0.00348977996793609,11.7,3.36815148775177,10
Shifted-cell fraction,10%,PcaHubert,0.805808801598616,0.106741646388076,6.2,0.788810637746616,10
Shifted-cell fraction,10%,PCP,0.979875810927761,0.0088246416614866,5,0,10
Shifted-cell fraction,10%,K's tau,0.809864973335369,0.141502155826147,6.6,1.34989711542111,10
Shifted-cell fraction,10%,Winsor,0.667587411400934,0.0828962719061532,8.5,1.08012344973464,10
Shifted-cell fraction,10%,Quad,0.664042186937881,0.0837725480272534,8.6,1.71269767715535,10
Shifted-cell fraction,10%,Ball,0.797805969798035,0.109520373872494,6.4,0.843274042711568,10
Shifted-cell fraction,10%,Shell,0.658080872107872,0.0783109278156337,8.1,1.3703203194063,10
Shifted-cell fraction,10%,LR,0.729724055782773,0.128153846933126,7.4,1.64654520469713,10
Shift magnitude,1.5,PCA,0.684732865832257,0.082244963429965,8.4,1.07496769977314,10
Shift magnitude,1.5,PcaGrid,0.00375923739408639,0.00392926771011238,10.8,3.70585122924995,10
Shift magnitude,1.5,PcaHubert,0.795126842725183,0.107810038467157,6.4,0.843274042711568,10
Shift magnitude,1.5,PCP,0.981000662631974,0.00792563612060689,5,0,10
Shift magnitude,1.5,K's tau,0.830456054824003,0.138675613903741,6.4,1.50554530541816,10
Shift magnitude,1.5,Winsor,0.662795752764366,0.0593667546454455,8.4,0.966091783079296,10
Shift magnitude,1.5,Quad,0.673703527440836,0.0728581341507782,8.4,1.42984070596848,10
Shift magnitude,1.5,Ball,0.77213989572248,0.116991161767877,6.7,1.15950180872841,10
Shift magnitude,1.5,Shell,0.656196786347675,0.0509279065606505,8.1,0.875595035770913,10
Shift magnitude,1.5,LR,0.737574825868559,0.105549100510713,7.2,0.918936583472681,10
Shift magnitude,2,PCA,0.668147510203893,0.112936894676483,8.8,1.98885785202351,10
Shift magnitude,2,PcaGrid,0.00191932781903486,0.00145958373379204,12,3.09120616516523,10
Shift magnitude,2,PcaHubert,0.785772992572132,0.113198160439179,6.6,1.07496769977314,10
Shift magnitude,2,PCP,0.980987280973,0.00813317233454075,5,0,10
Shift magnitude,2,K's tau,0.84103881160892,0.103979440172113,6.2,0.918936583472681,10
Shift magnitude,2,Winsor,0.665711306321638,0.116258854060636,8.7,2.00277585143997,10
Shift magnitude,2,Quad,0.661348327407273,0.0890135641527424,8.7,1.56702123647242,10
Shift magnitude,2,Ball,0.783660826426453,0.131672735102014,6.7,1.41813649241218,10
Shift magnitude,2,Shell,0.644394992749748,0.0822905230704929,8.7,1.76698110409314,10
Shift magnitude,2,LR,0.753003682681831,0.128551199357432,7.1,1.52388392675499,10
Shift magnitude,3,PCA,0.687750410745357,0.0727535826324888,8.3,1.05934990547138,10
Shift magnitude,3,PcaGrid,0.00169254083007418,0.0050852136883674,11.2,3.64539283053128,10
Shift magnitude,3,PcaHubert,0.808097528703274,0.116498687315014,6.3,0.948683298050514,10
Shift magnitude,3,PCP,0.980746517136896,0.0085275045165685,5,0,10
Shift magnitude,3,K's tau,0.824423014836057,0.150012651672722,6.5,1.77951304200522,10
Shift magnitude,3,Winsor,0.64706882351698,0.0698291034002868,8.9,1.44913767461894,10
Shift magnitude,3,Quad,0.646217441753942,0.0850831949117977,8.8,1.47572957474524,10
Shift magnitude,3,Ball,0.753241387951624,0.0957957147516823,6.9,0.875595035770913,10
Shift magnitude,3,Shell,0.63410002128338,0.0731348698781071,8.8,1.3984117975602,10
Shift magnitude,3,LR,0.739380236226538,0.0961080684652893,7.2,1.03279555898864,10
