r,Method,Weight,Definition,Threshold_values_schematic,Visualization_range,Threshold_display,Source_note
0.086,Shell,0,,,,,
0.086,LR,1,,,,,
0.087,PCA,0.707106781186548,,,,,
0.087,K's tau,11.4942528735632,,,,,
0.087,Winsor,1,,,,,
0.087,Quad,1,,,,,
0.087,Ball,1,,,,,
0.087,Shell,0,,,,,
0.087,LR,1,,,,,
0.088,PCA,0.707106781186548,,,,,
0.088,K's tau,11.3636363636364,,,,,
0.088,Winsor,1,,,,,
0.088,Quad,1,,,,,
0.088,Ball,1,,,,,
0.088,Shell,0,,,,,
0.088,LR,1,,,,,
0.089,PCA,0.707106781186548,,,,,
0.089,K's tau,11.2359550561798,,,,,
0.089,Winsor,1,,,,,
0.089,Quad,1,,,,,
0.089,Ball,1,,,,,
0.089,Shell,0,,,,,
0.089,LR,1,,,,,
0.09,PCA,0.707106781186548,,,,,
0.09,K's tau,11.1111111111111,,,,,
0.09,Winsor,1,,,,,
0.09,Quad,1,,,,,
0.09,Ball,1,,,,,
0.09,Shell,0,,,,,
0.09,LR,1,,,,,
0.091,PCA,0.707106781186548,,,,,
0.091,K's tau,10.989010989011,,,,,
0.091,Winsor,1,,,,,
0.091,Quad,1,,,,,
0.091,Ball,1,,,,,
0.091,Shell,0,,,,,
0.091,LR,1,,,,,
0.092,PCA,0.707106781186548,,,,,
0.092,K's tau,10.8695652173913,,,,,
0.092,Winsor,1,,,,,
0.092,Quad,1,,,,,
0.092,Ball,1,,,,,
0.092,Shell,0,,,,,
0.092,LR,1,,,,,
0.093,PCA,0.707106781186548,,,,,
0.093,K's tau,10.752688172043,,,,,
0.093,Winsor,1,,,,,
0.093,Quad,1,,,,,
0.093,Ball,1,,,,,
0.093,Shell,0,,,,,
0.093,LR,1,,,,,
0.094,PCA,0.707106781186548,,,,,
0.094,K's tau,10.6382978723404,,,,,
0.094,Winsor,1,,,,,
0.094,Quad,1,,,,,
0.094,Ball,1,,,,,
0.094,Shell,0,,,,,
0.094,LR,1,,,,,
0.095,PCA,0.707106781186548,,,,,
0.095,K's tau,10.5263157894737,,,,,
0.095,Winsor,1,,,,,
0.095,Quad,1,,,,,
0.095,Ball,1,,,,,
0.095,Shell,0,,,,,
0.095,LR,1,,,,,
0.096,PCA,0.707106781186548,,,,,
0.096,K's tau,10.4166666666667,,,,,
0.096,Winsor,1,,,,,
0.096,Quad,1,,,,,
0.096,Ball,1,,,,,
0.096,Shell,0,,,,,
0.096,LR,1,,,,,
0.097,PCA,0.707106781186548,,,,,
0.097,K's tau,10.3092783505155,,,,,
0.097,Winsor,1,,,,,
0.097,Quad,1,,,,,
0.097,Ball,1,,,,,
0.097,Shell,0,,,,,
0.097,LR,1,,,,,
0.098,PCA,0.707106781186548,,,,,
0.098,K's tau,10.2040816326531,,,,,
0.098,Winsor,1,,,,,
0.098,Quad,1,,,,,
0.098,Ball,1,,,,,
0.098,Shell,0,,,,,
0.098,LR,1,,,,,
0.099,PCA,0.707106781186548,,,,,
0.099,K's tau,10.1010101010101,,,,,
0.099,Winsor,1,,,,,
0.099,Quad,1,,,,,
0.099,Ball,1,,,,,
0.099,Shell,0,,,,,
0.099,LR,1,,,,,
0.1,PCA,0.707106781186548,,,,,
0.1,K's tau,10,,,,,
0.1,Winsor,1,,,,,
0.1,Quad,1,,,,,
0.1,Ball,1,,,,,
0.1,Shell,0,,,,,
0.1,LR,1,,,,,
0.101,PCA,0.707106781186548,,,,,
0.101,K's tau,9.9009900990099,,,,,
0.101,Winsor,1,,,,,
0.101,Quad,1,,,,,
0.101,Ball,1,,,,,
0.101,Shell,0,,,,,
0.101,LR,1,,,,,
0.102,PCA,0.707106781186548,,,,,
0.102,K's tau,9.80392156862745,,,,,
0.102,Winsor,1,,,,,
0.102,Quad,1,,,,,
0.102,Ball,1,,,,,
0.102,Shell,0,,,,,
0.102,LR,1,,,,,
0.103,PCA,0.707106781186548,,,,,
0.103,K's tau,9.70873786407767,,,,,
0.103,Winsor,1,,,,,
0.103,Quad,1,,,,,
0.103,Ball,1,,,,,
0.103,Shell,0,,,,,
0.103,LR,1,,,,,
0.104,PCA,0.707106781186548,,,,,
0.104,K's tau,9.61538461538461,,,,,
0.104,Winsor,1,,,,,
0.104,Quad,1,,,,,
0.104,Ball,1,,,,,
0.104,Shell,0,,,,,
0.104,LR,1,,,,,
0.105,PCA,0.707106781186548,,,,,
0.105,K's tau,9.52380952380952,,,,,
0.105,Winsor,1,,,,,
0.105,Quad,1,,,,,
0.105,Ball,1,,,,,
0.105,Shell,0,,,,,
0.105,LR,1,,,,,
0.106,PCA,0.707106781186548,,,,,
0.106,K's tau,9.43396226415094,,,,,
0.106,Winsor,1,,,,,
0.106,Quad,1,,,,,
0.106,Ball,1,,,,,
0.106,Shell,0,,,,,
0.106,LR,1,,,,,
0.107,PCA,0.707106781186548,,,,,
0.107,K's tau,9.34579439252336,,,,,
0.107,Winsor,1,,,,,
0.107,Quad,1,,,,,
0.107,Ball,1,,,,,
0.107,Shell,0,,,,,
0.107,LR,1,,,,,
0.108,PCA,0.707106781186548,,,,,
0.108,K's tau,9.25925925925926,,,,,
0.108,Winsor,1,,,,,
0.108,Quad,1,,,,,
0.108,Ball,1,,,,,
0.108,Shell,0,,,,,
0.108,LR,1,,,,,
0.109,PCA,0.707106781186548,,,,,
0.109,K's tau,9.1743119266055,,,,,
0.109,Winsor,1,,,,,
0.109,Quad,1,,,,,
0.109,Ball,1,,,,,
0.109,Shell,0,,,,,
0.109,LR,1,,,,,
0.11,PCA,0.707106781186548,,,,,
0.11,K's tau,9.09090909090909,,,,,
0.11,Winsor,1,,,,,
0.11,Quad,1,,,,,
0.11,Ball,1,,,,,
0.11,Shell,0,,,,,
0.11,LR,1,,,,,
0.111,PCA,0.707106781186548,,,,,
0.111,K's tau,9.00900900900901,,,,,
0.111,Winsor,1,,,,,
0.111,Quad,1,,,,,
0.111,Ball,1,,,,,
0.111,Shell,0,,,,,
0.111,LR,1,,,,,
0.112,PCA,0.707106781186548,,,,,
0.112,K's tau,8.92857142857143,,,,,
0.112,Winsor,1,,,,,
0.112,Quad,1,,,,,
0.112,Ball,1,,,,,
0.112,Shell,0,,,,,
0.112,LR,1,,,,,
0.113,PCA,0.707106781186548,,,,,
0.113,K's tau,8.84955752212389,,,,,
0.113,Winsor,1,,,,,
0.113,Quad,1,,,,,
0.113,Ball,1,,,,,
0.113,Shell,0,,,,,
0.113,LR,1,,,,,
0.114,PCA,0.707106781186548,,,,,
0.114,K's tau,8.7719298245614,,,,,
0.114,Winsor,1,,,,,
0.114,Quad,1,,,,,
0.114,Ball,1,,,,,
0.114,Shell,0,,,,,
0.114,LR,1,,,,,
0.115,PCA,0.707106781186548,,,,,
0.115,K's tau,8.69565217391305,,,,,
0.115,Winsor,1,,,,,
0.115,Quad,1,,,,,
0.115,Ball,1,,,,,
0.115,Shell,0,,,,,
0.115,LR,1,,,,,
0.116,PCA,0.707106781186548,,,,,
0.116,K's tau,8.62068965517242,,,,,
0.116,Winsor,1,,,,,
0.116,Quad,1,,,,,
0.116,Ball,1,,,,,
0.116,Shell,0,,,,,
0.116,LR,1,,,,,
0.117,PCA,0.707106781186548,,,,,
0.117,K's tau,8.54700854700855,,,,,
0.117,Winsor,1,,,,,
0.117,Quad,1,,,,,
0.117,Ball,1,,,,,
0.117,Shell,0,,,,,
0.117,LR,1,,,,,
0.118,PCA,0.707106781186548,,,,,
0.118,K's tau,8.47457627118644,,,,,
0.118,Winsor,1,,,,,
0.118,Quad,1,,,,,
0.118,Ball,1,,,,,
0.118,Shell,0,,,,,
0.118,LR,1,,,,,
0.119,PCA,0.707106781186548,,,,,
0.119,K's tau,8.40336134453782,,,,,
0.119,Winsor,1,,,,,
0.119,Quad,1,,,,,
0.119,Ball,1,,,,,
0.119,Shell,0,,,,,
0.119,LR,1,,,,,
0.12,PCA,0.707106781186548,,,,,
0.12,K's tau,8.33333333333333,,,,,
0.12,Winsor,1,,,,,
0.12,Quad,1,,,,,
0.12,Ball,1,,,,,
0.12,Shell,0,,,,,
0.12,LR,1,,,,,
0.121,PCA,0.707106781186548,,,,,
0.121,K's tau,8.26446280991736,,,,,
0.121,Winsor,1,,,,,
0.121,Quad,1,,,,,
0.121,Ball,1,,,,,
0.121,Shell,0,,,,,
0.121,LR,1,,,,,
0.122,PCA,0.707106781186548,,,,,
0.122,K's tau,8.19672131147541,,,,,
0.122,Winsor,1,,,,,
0.122,Quad,1,,,,,
0.122,Ball,1,,,,,
0.122,Shell,0,,,,,
0.122,LR,1,,,,,
0.123,PCA,0.707106781186548,,,,,
0.123,K's tau,8.13008130081301,,,,,
0.123,Winsor,1,,,,,
0.123,Quad,1,,,,,
0.123,Ball,1,,,,,
0.123,Shell,0,,,,,
0.123,LR,1,,,,,
