DatasetName,Replicate,Method,subspace_pc10_mean_cos,Group
Pancreas,4,Ball,0.97442642149138,Proposed
Pancreas,5,Ball,0.974549604281588,Proposed
Pancreas,6,Ball,0.975599461611075,Proposed
Pancreas,7,Ball,0.976196020599306,Proposed
Pancreas,8,Ball,0.975878313996727,Proposed
Pancreas,9,Ball,0.975129951655841,Proposed
Pancreas,10,Ball,0.971429531780652,Proposed
Pancreas,11,Ball,0.973395988668424,Proposed
Pancreas,12,Ball,0.96246599576495,Proposed
Pancreas,13,Ball,0.974449419860965,Proposed
Pancreas,14,Ball,0.974635738889048,Proposed
Pancreas,15,Ball,0.96359293804266,Proposed
Pancreas,16,Ball,0.974615708930379,Proposed
Pancreas,17,Ball,0.977173407536404,Proposed
Pancreas,18,Ball,0.970744318842381,Proposed
Pancreas,19,Ball,0.974998623293216,Proposed
Pancreas,20,Ball,0.973341618965456,Proposed
Pancreas,1,K's tau,0.973441839913231,Reference
Pancreas,2,K's tau,0.96874096643979,Reference
Pancreas,3,K's tau,0.966422829331202,Reference
Pancreas,4,K's tau,0.974117125739703,Reference
Pancreas,5,K's tau,0.974646256673516,Reference
Pancreas,6,K's tau,0.975519591053914,Reference
Pancreas,7,K's tau,0.976049364237154,Reference
Pancreas,8,K's tau,0.976016761644778,Reference
Pancreas,9,K's tau,0.974424199115187,Reference
Pancreas,10,K's tau,0.971273848400155,Reference
Pancreas,11,K's tau,0.973302449018162,Reference
Pancreas,12,K's tau,0.965647534820765,Reference
Pancreas,13,K's tau,0.975072874603755,Reference
Pancreas,14,K's tau,0.974868244871344,Reference
Pancreas,15,K's tau,0.963208548215007,Reference
Pancreas,16,K's tau,0.97474301745205,Reference
Pancreas,17,K's tau,0.976991137438087,Reference
Pancreas,18,K's tau,0.970268972333811,Reference
Pancreas,19,K's tau,0.97441210846516,Reference
Pancreas,20,K's tau,0.974860600744499,Reference
Pancreas,1,LR,0.973967319134996,Proposed
Pancreas,2,LR,0.967225285239941,Proposed
Pancreas,3,LR,0.961757986298987,Proposed
Pancreas,4,LR,0.974504993612165,Proposed
Pancreas,5,LR,0.974625344108298,Proposed
Pancreas,6,LR,0.975505825763748,Proposed
Pancreas,7,LR,0.976165006644951,Proposed
Pancreas,8,LR,0.975590678818088,Proposed
Pancreas,9,LR,0.974837533535531,Proposed
Pancreas,10,LR,0.971327527695144,Proposed
Pancreas,11,LR,0.973467823453675,Proposed
Pancreas,12,LR,0.962566432957995,Proposed
Pancreas,13,LR,0.974191825415262,Proposed
Pancreas,14,LR,0.974473287900756,Proposed
Pancreas,15,LR,0.963377039065193,Proposed
Pancreas,16,LR,0.974546087001408,Proposed
Pancreas,17,LR,0.977130025873637,Proposed
Pancreas,18,LR,0.969944116679032,Proposed
Pancreas,19,LR,0.974747942116555,Proposed
Pancreas,20,LR,0.973783530402564,Proposed
Pancreas,1,PCA,0.97334178342669,Reference
Pancreas,2,PCA,0.967480043895329,Reference
Pancreas,3,PCA,0.965248462902728,Reference
Pancreas,4,PCA,0.974646986104293,Reference
Pancreas,5,PCA,0.974142491177459,Reference
Pancreas,6,PCA,0.975187315945024,Reference
Pancreas,7,PCA,0.976074920478677,Reference
Pancreas,8,PCA,0.974965468307871,Reference
Pancreas,9,PCA,0.973720612937536,Reference
Pancreas,10,PCA,0.971107258045677,Reference
Pancreas,11,PCA,0.973924115304406,Reference
Pancreas,12,PCA,0.963312850898065,Reference
Pancreas,13,PCA,0.974347485640514,Reference
Pancreas,14,PCA,0.974385835340167,Reference
Pancreas,15,PCA,0.963230797963703,Reference
Pancreas,16,PCA,0.974479121814183,Reference
Pancreas,17,PCA,0.97699528273727,Reference
Pancreas,18,PCA,0.969156678077346,Reference
Pancreas,19,PCA,0.973528413191935,Reference
Pancreas,20,PCA,0.97466684163126,Reference
Pancreas,1,PCP,0.863442309782148,Reference
Pancreas,2,PCP,0.864827684713163,Reference
Pancreas,3,PCP,0.849317999270076,Reference
Pancreas,4,PCP,0.8669711485711,Reference
Pancreas,5,PCP,0.839595680172705,Reference
Pancreas,6,PCP,0.854261693624866,Reference
Pancreas,7,PCP,0.860542332378583,Reference
Pancreas,8,PCP,0.858615836454728,Reference
Pancreas,9,PCP,0.866566931337003,Reference
Pancreas,10,PCP,0.852228317717765,Reference
Pancreas,11,PCP,0.87121191485804,Reference
Pancreas,12,PCP,0.847580471384344,Reference
Pancreas,13,PCP,0.870899016538607,Reference
Pancreas,14,PCP,0.854378578346362,Reference
Pancreas,15,PCP,0.854548946919605,Reference
Pancreas,16,PCP,0.868589848084044,Reference
Pancreas,17,PCP,0.871135506826595,Reference
Pancreas,18,PCP,0.868134807924796,Reference
Pancreas,19,PCP,0.85117655786858,Reference
Pancreas,20,PCP,0.86616954286704,Reference
Pancreas,1,PcaGrid,0.245652721976882,Reference
Pancreas,2,PcaGrid,0.124884235097355,Reference
Pancreas,3,PcaGrid,0.187749338621347,Reference
Pancreas,4,PcaGrid,0.154353330088672,Reference
Pancreas,5,PcaGrid,0.181789372695557,Reference
Pancreas,6,PcaGrid,0.187190762668928,Reference
Pancreas,7,PcaGrid,0.247739755571707,Reference
Pancreas,8,PcaGrid,0.201058164881744,Reference
Pancreas,9,PcaGrid,0.180620919319379,Reference
Pancreas,10,PcaGrid,0.177291666286416,Reference
Pancreas,11,PcaGrid,0.172602671072671,Reference
Pancreas,12,PcaGrid,0.240359820969641,Reference
Pancreas,13,PcaGrid,0.264540190736133,Reference
Pancreas,14,PcaGrid,0.290204185175206,Reference
Pancreas,15,PcaGrid,0.16694291759582,Reference
Pancreas,16,PcaGrid,0.183930584931629,Reference
Pancreas,17,PcaGrid,0.189655744071111,Reference
Pancreas,18,PcaGrid,0.183801658850563,Reference
Pancreas,19,PcaGrid,0.140027000545363,Reference
Pancreas,20,PcaGrid,0.200117136684544,Reference
Pancreas,1,PcaHubert,0.963796554675791,Reference
Pancreas,2,PcaHubert,0.960271138812032,Reference
Pancreas,3,PcaHubert,0.964009573288663,Reference
Pancreas,4,PcaHubert,0.962125369987677,Reference
Pancreas,5,PcaHubert,0.962822872174934,Reference
Pancreas,6,PcaHubert,0.961962698437046,Reference
Pancreas,7,PcaHubert,0.960619173469583,Reference
