DatasetName,Method,Metric,Replicate,ClusterRep,ARI,Group,ObservationLevel,Figure6SummaryLevel,ResultStatus
Bhattacherjee,Ball,FULL vs subset,1,4,0.61947418547923,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,1,5,0.775925664643364,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,1,6,0.720552344958603,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,1,7,0.783547781804195,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,1,8,0.695739905983957,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,1,9,0.62047851340736,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,1,10,0.626498618086241,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,2,1,0.74753509124359,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,2,2,0.717620437350143,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,2,3,0.675576452189915,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,2,4,0.656058495920383,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,2,5,0.685062252654881,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,2,6,0.651151835604194,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,2,7,0.727744619238225,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,2,8,0.63934172030919,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,2,9,0.611838556436335,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,2,10,0.673195807123421,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,3,1,0.723405140294867,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,3,2,0.828254457021544,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,3,3,0.773875057581401,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,3,4,0.658405454312238,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,3,5,0.716829064793858,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,3,6,0.698063958854764,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,3,7,0.769910025504913,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,3,8,0.670770850727032,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,3,9,0.652713267239808,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,3,10,0.680744266073956,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,4,1,0.57750984139728,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,4,2,0.792439072724052,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
