PerturbationCondition,Level,Method,Mean,SD,Median,Q1,Q3,N
Doublet fraction,10%,LR,0.645891575933591,0.0377112433387765,0.650076003715325,0.631211375139964,0.665266378920269,10
Doublet fraction,15%,PCA,0.636776022986363,0.0424698937813299,0.641873417406838,0.602652672135489,0.660067516462792,10
Doublet fraction,15%,PcaGrid,0.00290021902641619,0.00262156057630073,0.00210241562513498,0.00155946911049581,0.0030497570759951,10
Doublet fraction,15%,PcaHubert,0.523810388280039,0.0411725574325058,0.521309432986451,0.504618180361812,0.547481996404262,10
Doublet fraction,15%,PCP,0.674635683862618,0.0508811126908186,0.678876165577041,0.675625724983829,0.699308141653886,10
Doublet fraction,15%,K's tau,0.576179551850659,0.0443120204000372,0.573797180432896,0.543541059001807,0.605289752040818,10
Doublet fraction,15%,Winsor,0.610323810777164,0.0444321955953471,0.606164621740103,0.578658864232459,0.620566059698173,10
Doublet fraction,15%,Quad,0.613357631752917,0.0507750484535937,0.611857088488822,0.576546508959265,0.618922706804608,10
Doublet fraction,15%,Ball,0.622262054834192,0.0489096407205007,0.613512989106602,0.59544078334424,0.662501798662355,10
Doublet fraction,15%,Shell,0.64590166087966,0.0498129137588915,0.639698862797431,0.615056681208279,0.670519729674155,10
Doublet fraction,15%,LR,0.630029924014381,0.0445733698250425,0.635135543241551,0.602569945785497,0.643728128746125,10
Dropout midpoint,-1,PCA,0.386472754877719,0.0394532742885381,0.386050961498237,0.373818309229054,0.420546485938496,10
Dropout midpoint,-1,PcaGrid,0.00165510487755784,0.00157984745732509,0.000979501519155911,0.000742579418571031,0.00202603851336262,10
Dropout midpoint,-1,PcaHubert,0.236522451781552,0.0630458729912819,0.228495361964035,0.203814650758875,0.271017595558974,10
Dropout midpoint,-1,PCP,0.429695991494023,0.0711309700994634,0.439553984910537,0.381409814803865,0.493979805048345,10
Dropout midpoint,-1,K's tau,0.373771658345768,0.0445557057518209,0.37430162305054,0.345065140924807,0.4134542360264,10
Dropout midpoint,-1,Winsor,0.383987320132063,0.0404863087696275,0.389136248002947,0.370755650312421,0.417161896989083,10
Dropout midpoint,-1,Quad,0.383762488867446,0.0403634203464724,0.387627821221689,0.373795226229149,0.416267901033582,10
Dropout midpoint,-1,Ball,0.374102005552609,0.0438822368063486,0.376076956095282,0.344851783361572,0.414052340244649,10
Dropout midpoint,-1,Shell,0.383250398358221,0.0389883694582609,0.387840681662392,0.368102170919799,0.415386429196709,10
Dropout midpoint,-1,LR,0.377544379594918,0.0432829382294518,0.3794020783156,0.355199836382173,0.415755419605273,10
Dropout midpoint,0,PCA,1,0,1,1,1,10
Dropout midpoint,0,PcaGrid,1,0,1,1,1,10
Dropout midpoint,0,PcaHubert,1,0,1,1,1,10
Dropout midpoint,0,PCP,1,0,1,1,1,10
Dropout midpoint,0,K's tau,1,0,1,1,1,10
Dropout midpoint,0,Winsor,1,0,1,1,1,10
Dropout midpoint,0,Quad,1,0,1,1,1,10
Dropout midpoint,0,Ball,1,0,1,1,1,10
Dropout midpoint,0,Shell,1,0,1,1,1,10
Dropout midpoint,0,LR,1,0,1,1,1,10
Dropout midpoint,1,PCA,0.358945609218086,0.0150775932433619,0.358066884094492,0.354386915226743,0.365936091374365,10
Dropout midpoint,1,PcaGrid,0.00150592600481444,0.00109914607881909,0.00151351649503728,0.000517819706278009,0.0020238129411211,10
Dropout midpoint,1,PcaHubert,0.339582105038883,0.0127531177057884,0.337033890854544,0.328207150519846,0.349338254674541,10
Dropout midpoint,1,PCP,0.362917578639512,0.0225171308680625,0.361496578783427,0.357038638634655,0.367756970091737,10
Dropout midpoint,1,K's tau,0.36523468654057,0.0164027044565602,0.36296798865124,0.353814250760114,0.373751610294246,10
Dropout midpoint,1,Winsor,0.359748077505731,0.01345105645613,0.35773002464239,0.353909405474431,0.364327588133798,10
Dropout midpoint,1,Quad,0.359232497812037,0.0151180965165031,0.357826944836811,0.349782299105858,0.365771290347462,10
Dropout midpoint,1,Ball,0.358500875290191,0.0185290782630924,0.361353122161491,0.351018465526391,0.368233153816848,10
Dropout midpoint,1,Shell,0.355862814691268,0.0163661966248298,0.357207919792762,0.343978982416602,0.365959463300595,10
Dropout midpoint,1,LR,0.357946164932606,0.0178241098616236,0.356739867110548,0.346969712705208,0.370237822010285,10
Dropout midpoint,2,PCA,0.303669341513223,0.020769233532152,0.305097583859374,0.292800184115063,0.318462004782602,10
Dropout midpoint,2,PcaGrid,0.00193748246907906,0.00152976887408763,0.00142848108552512,0.000952853161211272,0.0024810575981369,10
Dropout midpoint,2,PcaHubert,0.276227503102664,0.022899258804242,0.278945003394077,0.25375860203056,0.292123335018543,10
Dropout midpoint,2,PCP,0.138571554353054,0.0273634949181854,0.139764825903586,0.128182580095862,0.153140869773758,10
Dropout midpoint,2,K's tau,0.304209072783252,0.0180151229840907,0.306408615803468,0.296475060343677,0.310561293140904,10
Dropout midpoint,2,Winsor,0.301362638973346,0.0190401947568086,0.301240283289859,0.291897999405346,0.308259077947674,10
Dropout midpoint,2,Quad,0.30196830947331,0.0179347250955111,0.304833275953187,0.293335956956077,0.308675001449322,10
Dropout midpoint,2,Ball,0.297379133435987,0.0160943226852286,0.302790185705121,0.288232645686687,0.306180257545862,10
Dropout midpoint,2,Shell,0.301353376945355,0.0169524941713382,0.303500158070178,0.29111383018037,0.308622115228919,10
Dropout midpoint,2,LR,0.302063758091941,0.0161079910709363,0.306229008749436,0.291966084192759,0.308399134161871,10
Dropout midpoint,3,PCA,0.238436924724806,0.0204482910887553,0.240412518673152,0.226707650808869,0.24765344061117,10
Dropout midpoint,3,PcaGrid,0.00126993949082335,0.000406104647181594,0.00116553521757845,0.000942730781556451,0.00143733354741243,10
Dropout midpoint,3,PcaHubert,0.215325618186085,0.023013940197656,0.213247282273335,0.203711593158642,0.22742387427591,10
Dropout midpoint,3,PCP,0.0694377219143941,0.00992383856020666,0.0668754727731768,0.0643629509294508,0.072701466824565,10
Dropout midpoint,3,K's tau,0.240211820110368,0.0208367761596394,0.236996896194611,0.226704533756945,0.254174972244103,10
Dropout midpoint,3,Winsor,0.237485692815367,0.0209555041913855,0.238930381234286,0.224633756061983,0.247977542591256,10
Dropout midpoint,3,Quad,0.238425866067129,0.0208924667656449,0.236622561378877,0.224506260855964,0.251556992247255,10
Dropout midpoint,3,Ball,0.238576576230335,0.0223648756339836,0.237408581847259,0.231190000018196,0.250781620815007,10
Dropout midpoint,3,Shell,0.235651734737574,0.0190858186459129,0.236523641173731,0.221389998147313,0.2437320608971,10
Dropout midpoint,3,LR,0.23706887045554,0.0218000250943286,0.23608690695691,0.226803961246988,0.2473798758711,10
Shift magnitude,2,PCA,0.991774156249766,0.0110344666446201,0.996089653372611,0.990998178147149,0.997489577393357,10
Shift magnitude,2,PcaGrid,0.155776814835366,0.113825032682026,0.145483299955451,0.0961391179001031,0.263444107570759,10
Shift magnitude,2,PcaHubert,0.78381544391294,0.0932919071417129,0.774521670949436,0.712427281736547,0.831192364263062,10
Shift magnitude,2,PCP,0.997494741813685,0.000963166271693144,0.997601935215392,0.997451900970422,0.998196689460959,10
Shift magnitude,2,K's tau,0.979850255501061,0.044043187908589,0.996074423641681,0.993286462934257,0.997307667657816,10
Shift magnitude,2,Winsor,0.991936716780153,0.00601912503301147,0.993699953513491,0.989413377403669,0.996344242676128,10
Shift magnitude,2,Quad,0.994154015450392,0.00411988368206573,0.995605255627986,0.99324730382741,0.996853608010417,10
Shift magnitude,2,Ball,0.981853528768261,0.0411096739403478,0.995539561033477,0.991970761451267,0.996682354554464,10
Shift magnitude,2,Shell,0.99470252062055,0.00443911430067872,0.996144763273468,0.994501476631866,0.997074937894699,10
Shift magnitude,2,LR,0.993021804254785,0.00572235208059058,0.996193870653831,0.990532856679369,0.996985135610499,10
Shift magnitude,3,PCA,0.982942513497535,0.0153451118378182,0.986772954499504,0.976559333244801,0.994198950566851,10
Shift magnitude,3,PcaGrid,0.218858357602385,0.14319352424012,0.234132940797632,0.0938679585833502,0.353192664641601,10
Shift magnitude,3,PcaHubert,0.77654698426479,0.0683561284145333,0.79685722508567,0.713610084854256,0.831306344280223,10
Shift magnitude,3,PCP,0.995078147076784,0.00172201706120406,0.994903871598288,0.993832397054866,0.996505816682744,10
Shift magnitude,3,K's tau,0.951469713061071,0.0683677121585709,0.989994824822804,0.936048285891045,0.993287945426295,10
