Metric,PerturbationCondition,Level,Method,Mean,SD,N
ARI,Shift magnitude,3,PcaHubert,0.948097180595267,0.0288564146364998,10
ARI,Shift magnitude,3,PCP,0.962550840228685,0.0206103690055418,10
ARI,Shift magnitude,3,K's tau,0.9656102475303,0.0129042804143046,10
ARI,Shift magnitude,3,Winsor,0.963383803330297,0.0156285382841758,10
ARI,Shift magnitude,3,Quad,0.964874700490028,0.0152765057881154,10
ARI,Shift magnitude,3,Ball,0.96498633612089,0.0143389584960335,10
ARI,Shift magnitude,3,Shell,0.96343526325744,0.0163774483127256,10
ARI,Shift magnitude,3,LR,0.963784079487252,0.0146889080294867,10
ARI,Shift magnitude,4,PCA,0.961598703548619,0.0151227168737504,10
ARI,Shift magnitude,4,PcaGrid,0.00275638105223702,0.00444493070580542,10
ARI,Shift magnitude,4,PcaHubert,0.947456668233462,0.0313111239352952,10
ARI,Shift magnitude,4,PCP,0.962419836620398,0.0199859685280039,10
ARI,Shift magnitude,4,K's tau,0.963424175618824,0.0147614601716217,10
ARI,Shift magnitude,4,Winsor,0.965268665415976,0.015815357731754,10
ARI,Shift magnitude,4,Quad,0.964269453954032,0.015422992654182,10
ARI,Shift magnitude,4,Ball,0.963880215425284,0.0148358560272645,10
ARI,Shift magnitude,4,Shell,0.962194504340575,0.0169609869872808,10
ARI,Shift magnitude,4,LR,0.964173403608649,0.0139726286743936,10
ARI,Shift magnitude,5,PCA,0.963378934672025,0.0144328446300431,10
ARI,Shift magnitude,5,PcaGrid,0.00317203446243388,0.00215116776961566,10
ARI,Shift magnitude,5,PcaHubert,0.938513757869032,0.0411096223568972,10
ARI,Shift magnitude,5,PCP,0.931379843966114,0.0692019103692452,10
ARI,Shift magnitude,5,K's tau,0.965015271091811,0.0145721138288519,10
ARI,Shift magnitude,5,Winsor,0.963936807573198,0.0150423899140811,10
ARI,Shift magnitude,5,Quad,0.96456350994858,0.015269751452188,10
ARI,Shift magnitude,5,Ball,0.965333910439161,0.0131300851114137,10
ARI,Shift magnitude,5,Shell,0.962726479999572,0.0149140441728198,10
ARI,Shift magnitude,5,LR,0.96336475722,0.0158859021618542,10
NMI,Dropout midpoint,-1,PCA,0.983580724332161,0.00643963921672202,10
NMI,Dropout midpoint,-1,PcaGrid,0.0088943642886265,0.00391975423690648,10
NMI,Dropout midpoint,-1,PcaHubert,0.906073965552927,0.0780070935047846,10
NMI,Dropout midpoint,-1,PCP,0.986851574519346,0.00458210731871265,10
NMI,Dropout midpoint,-1,K's tau,0.986993398435989,0.00488633279311955,10
NMI,Dropout midpoint,-1,Winsor,0.981973945971886,0.00770240113072854,10
NMI,Dropout midpoint,-1,Quad,0.98468043821821,0.0050946103525257,10
NMI,Dropout midpoint,-1,Ball,0.984262824310054,0.00771859123418972,10
NMI,Dropout midpoint,-1,Shell,0.986089892959651,0.00690759304269597,10
NMI,Dropout midpoint,-1,LR,0.984916346214897,0.00631086729174411,10
NMI,Dropout midpoint,0,PCA,0.930432554202234,0.026598863972909,10
NMI,Dropout midpoint,0,PcaGrid,0.0076403029131804,0.00291107186315102,10
NMI,Dropout midpoint,0,PcaHubert,0.900665156189185,0.0515640767170986,10
NMI,Dropout midpoint,0,PCP,0.916878536843296,0.0595164368905698,10
NMI,Dropout midpoint,0,K's tau,0.940202844751333,0.0232150808512994,10
NMI,Dropout midpoint,0,Winsor,0.932201651071776,0.0250104117342256,10
NMI,Dropout midpoint,0,Quad,0.935463888961988,0.0233884269219163,10
NMI,Dropout midpoint,0,Ball,0.936430740320534,0.0252211376541953,10
NMI,Dropout midpoint,0,Shell,0.935073700389919,0.0260316704408834,10
NMI,Dropout midpoint,0,LR,0.93402405923281,0.0281331546077215,10
NMI,Dropout midpoint,1,PCA,0.74068877452955,0.0776474803796168,10
NMI,Dropout midpoint,1,PcaGrid,0.00614859404412418,0.00192182484135557,10
NMI,Dropout midpoint,1,PcaHubert,0.704969124360357,0.0714311915296903,10
