BaseID,Replicate,ParamID,Condition,dropout_mid,doublet_frac,cell_frac,meanlog,Method,PCwisePC10,PCwisePC20
1,8,4,dropout,1,,,,PcaGrid,0.000272007375920932,0.000633593220953133
1,8,4,dropout,1,,,,PcaHubert,0.337483297922371,0.177490265227983
1,8,4,dropout,1,,,,Quad,0.347969512426027,0.184348123682647
1,8,4,dropout,1,,,,Shell,0.33706838727638,0.176178660769883
1,8,4,dropout,1,,,,Winsor,0.353276286050773,0.186688080565586
1,9,4,dropout,1,,,,Ball,0.348873920977,0.182831225965735
1,9,4,dropout,1,,,,K's tau,0.351556424523752,0.186759924716418
1,9,4,dropout,1,,,,LR,0.344038183126467,0.179702876907502
1,9,4,dropout,1,,,,PCA,0.347601660698134,0.181949938383812
1,9,4,dropout,1,,,,PCP,0.360857044297278,0.189657383457801
1,9,4,dropout,1,,,,PcaGrid,0.00363129349326241,0.00243230149905715
1,9,4,dropout,1,,,,PcaHubert,0.326911821095257,0.172203667702391
1,9,4,dropout,1,,,,Quad,0.345218152045121,0.182975534632829
1,9,4,dropout,1,,,,Shell,0.341064787986595,0.179481425698226
1,9,4,dropout,1,,,,Winsor,0.347844091066946,0.182721088892862
1,10,4,dropout,1,,,,Ball,0.36485200072812,0.190994262466647
1,10,4,dropout,1,,,,K's tau,0.361945946717669,0.194490067076169
1,10,4,dropout,1,,,,LR,0.356652795292921,0.189339294399055
1,10,4,dropout,1,,,,PCA,0.36044726036205,0.190498186986255
1,10,4,dropout,1,,,,PCP,0.356824024908094,0.189399755982553
1,10,4,dropout,1,,,,PcaGrid,0.00170052473772414,0.00194739979732163
1,10,4,dropout,1,,,,PcaHubert,0.326779325724985,0.175853124544182
1,10,4,dropout,1,,,,Quad,0.35988143438838,0.190547397092385
1,10,4,dropout,1,,,,Shell,0.356030655233986,0.188641467417517
1,10,4,dropout,1,,,,Winsor,0.361231687422725,0.190992770524449
1,1,5,dropout,2,,,,Ball,0.304671252903275,0.159135330015721
1,1,5,dropout,2,,,,K's tau,0.304765789161543,0.16099163989998
1,1,5,dropout,2,,,,LR,0.310466984691689,0.165081082633595
1,1,5,dropout,2,,,,PCA,0.325390389994001,0.170408607850051
1,1,5,dropout,2,,,,PCP,0.155120345123424,0.0830082744735493
1,1,5,dropout,2,,,,PcaGrid,0.00165143412728548,0.00117362323615556
1,1,5,dropout,2,,,,PcaHubert,0.249160850217034,0.137746742818082
1,1,5,dropout,2,,,,Quad,0.30523646135123,0.15972867620476
1,1,5,dropout,2,,,,Shell,0.309115644836884,0.164126506081545
1,1,5,dropout,2,,,,Winsor,0.296600319449574,0.155938874112483
1,2,5,dropout,2,,,,Ball,0.301402725125719,0.162060298193714
1,2,5,dropout,2,,,,K's tau,0.308051442445393,0.166839655907117
1,2,5,dropout,2,,,,LR,0.306038028996602,0.165113385173261
1,2,5,dropout,2,,,,PCA,0.305416283663442,0.163871825740082
1,2,5,dropout,2,,,,PCP,0.147202443724759,0.0780715081807957
1,2,5,dropout,2,,,,PcaGrid,0.00132365711657144,0.00132772171443859
1,2,5,dropout,2,,,,PcaHubert,0.285456012677081,0.154729936971007
1,2,5,dropout,2,,,,Quad,0.304430090555144,0.164618578556744
1,2,5,dropout,2,,,,Shell,0.303514400662077,0.164257728573069
1,2,5,dropout,2,,,,Winsor,0.304198970623151,0.161425285009639
1,3,5,dropout,2,,,,Ball,0.310793488899501,0.161758531485501
1,3,5,dropout,2,,,,K's tau,0.310799958640884,0.165071683282988
1,3,5,dropout,2,,,,LR,0.308803158990629,0.164974240904237
1,3,5,dropout,2,,,,PCA,0.321634218619953,0.172476797949424
1,3,5,dropout,2,,,,PCP,0.102293033795816,0.0561281995918862
