Metric,PerturbationCondition,Level,Method,Mean,SD,N
NMI,Shifted-cell fraction,2%,PcaGrid,0.00773354853734389,0.00565668504565932,10
NMI,Shifted-cell fraction,2%,PcaHubert,0.671239704717784,0.0309857047658737,10
NMI,Shifted-cell fraction,2%,PCP,0.786713072777335,0.10080999951191,10
NMI,Shifted-cell fraction,2%,K's tau,0.681803438580911,0.0316991953650359,10
NMI,Shifted-cell fraction,2%,Winsor,0.686543638893353,0.031065951107729,10
NMI,Shifted-cell fraction,2%,Quad,0.686973838985809,0.0316598681381842,10
NMI,Shifted-cell fraction,2%,Ball,0.680040975573992,0.0314149624982084,10
NMI,Shifted-cell fraction,2%,Shell,0.679974939420424,0.0350129045706761,10
NMI,Shifted-cell fraction,2%,LR,0.682093387098257,0.0317641517216113,10
NMI,Shifted-cell fraction,4%,PCA,0.68632964091738,0.031409250038605,10
NMI,Shifted-cell fraction,4%,PcaGrid,0.00833600263598494,0.00378108082798137,10
NMI,Shifted-cell fraction,4%,PcaHubert,0.670822190019178,0.0302609236527833,10
NMI,Shifted-cell fraction,4%,PCP,0.784623605955475,0.101498777105586,10
NMI,Shifted-cell fraction,4%,K's tau,0.6815876612579,0.0320785280041477,10
NMI,Shifted-cell fraction,4%,Winsor,0.686045922761841,0.0312101259121467,10
NMI,Shifted-cell fraction,4%,Quad,0.684705768163344,0.0312176659325872,10
NMI,Shifted-cell fraction,4%,Ball,0.678050934123556,0.0326134783717836,10
NMI,Shifted-cell fraction,4%,Shell,0.680352522082192,0.0341177047879022,10
NMI,Shifted-cell fraction,4%,LR,0.680971099966231,0.0317626859925237,10
NMI,Shifted-cell fraction,6%,PCA,0.68303277244434,0.0343608054397842,10
NMI,Shifted-cell fraction,6%,PcaGrid,0.00630624558856527,0.00239092096705038,10
NMI,Shifted-cell fraction,6%,PcaHubert,0.671290243457453,0.029947179695039,10
NMI,Shifted-cell fraction,6%,PCP,0.78485681525023,0.102067218794724,10
NMI,Shifted-cell fraction,6%,K's tau,0.681659152212595,0.0327046722061867,10
NMI,Shifted-cell fraction,6%,Winsor,0.682607088211804,0.0347184227665148,10
NMI,Shifted-cell fraction,6%,Quad,0.68247588785001,0.034467996412175,10
NMI,Shifted-cell fraction,6%,Ball,0.680076535523419,0.0329595349173976,10
NMI,Shifted-cell fraction,6%,Shell,0.68014029312131,0.0344163647772368,10
NMI,Shifted-cell fraction,6%,LR,0.682626424721541,0.0325613101207915,10
NMI,Shifted-cell fraction,8%,PCA,0.683169910418285,0.0347593114301739,10
NMI,Shifted-cell fraction,8%,PcaGrid,0.00576320228996261,0.002552371043874,10
NMI,Shifted-cell fraction,8%,PcaHubert,0.67116883299708,0.0310742761582949,10
NMI,Shifted-cell fraction,8%,PCP,0.784102772432064,0.102687402280245,10
NMI,Shifted-cell fraction,8%,K's tau,0.681852950232256,0.0318002460700808,10
NMI,Shifted-cell fraction,8%,Winsor,0.68693304910223,0.0310221435278224,10
NMI,Shifted-cell fraction,8%,Quad,0.687470198768842,0.0311059846804402,10
NMI,Shifted-cell fraction,8%,Ball,0.680481795711488,0.0325505615389571,10
NMI,Shifted-cell fraction,8%,Shell,0.680086340023915,0.0360255717493977,10
NMI,Shifted-cell fraction,8%,LR,0.682374278528601,0.0327137802464954,10
NMI,Shifted-cell fraction,10%,PCA,0.683376333425381,0.0358658537155559,10
NMI,Shifted-cell fraction,10%,PcaGrid,0.00705160761769045,0.00317432624888799,10
NMI,Shifted-cell fraction,10%,PcaHubert,0.670518584726823,0.0300806986797219,10
NMI,Shifted-cell fraction,10%,PCP,0.77018837300376,0.0883394990143615,10
NMI,Shifted-cell fraction,10%,K's tau,0.681727645017953,0.033151561778891,10
NMI,Shifted-cell fraction,10%,Winsor,0.683145290590676,0.0355219694261535,10
NMI,Shifted-cell fraction,10%,Quad,0.68314597002029,0.035375127815947,10
NMI,Shifted-cell fraction,10%,Ball,0.679981101909408,0.0324535420002867,10
NMI,Shifted-cell fraction,10%,Shell,0.679682065882646,0.03606473487193,10
NMI,Shifted-cell fraction,10%,LR,0.682341386313864,0.0337200135647848,10
NMI,Shift magnitude,1.5,PCA,0.686437121355805,0.0304325338989978,10
NMI,Shift magnitude,1.5,PcaGrid,0.00567223434257177,0.00263924177444915,10
